Name,TempAddress,ValveAddress,Temp,SetTemp,Time,Mode,Frame
FV1,28-09217063caaa,"1,0",,,,OFF,frame2
FV2,28-09217073acaa,"1,1",,,,OFF,frame2
FV3,28-072170587aaa,"1,2",,,,OFF,frame2
FV4,28-09217060ebaa,"1,3",,,,OFF,frame2
FV5,28-07217042a7aa,"1,4",,,,OFF,frame2
FV6,28-0721704eacaa,"1,5",,,,OFF,frame2
ST1,28-0921708e80aa,"1,6",,,,OFF,frame3
ST2,28-0721704920aa,"1,7",,,,OFF,frame3
ST3,28-0921706505aa,"1,8",,,,OFF,frame3
ST4,28-0921705ba5aa,"1,9",,,,OFF,frame3
ST5,28-09217070daaa,"1,10",,,,OFF,frame3
ST6,28-07217057d5aa,"1,11",,,,OFF,frame3
